1|Customer#000000001|ANhzAAh6R3 glS4Sx|15|25-989-741-2988|711.56|BUILDING|j5S37kk6zkOzkM5NOz6jwwimkN66CmOhM5ySy w6PAj2xjOAmhkw6ChSR 21BMRkL0kLM5zxg654CRlB3 1Lxm3S|
2|Customer#000000002|MN0L3OzNgylx2|13|23-768-687-3665|121.65|AUTOMOBILE|M4QB23ixkg0yk6m3gwim6zi32PS7lj2|
3|Customer#000000003|PSL74SNCwwN2ON66lxgnw7mR4hLP2k|1|11-719-748-3364|7498.12|AUTOMOBILE|mSC13MBj4n0P6Mgh0ml02zOBlyjw3NzB1|
4|Customer#000000004|mknn1Sh0NPMz1k5Lw2OB mO|4|14-128-190-5944|2866.83|MACHINERY|MN6ChhSMwPwzOkyww7C5ROlhMS0C4iR2nC6kQmywx3yim62QNySOmQRQnwizihMOg|
5|Customer#000000005|yOww5znhPNi5OlQNPChkLx2BLPxNSB|3|13-750-942-6364|794.47|HOUSEHOLD|24BOSzg 03m710wll   iNxnwQ0OmzzgO7A3ykBj2 g755hhCyMO7QnARx5Pg3kyAQA35 i0CS1MSLg0xN2iyg0liwnMwnOx52nj5iQkNQPP|
6|Customer#000000006|nS70ykL4n k51ik3R5wlNzjnjBL2N51ki|20|30-114-968-4951|7638.57|AUTOMOBILE|hPMLmxPw05R1mz126jjRAj1kOP7xLC6 yS3ALCRBR5B3im650BLm4O3SwBP7xlwOklmPRS31RNN0gMkkPm4COigCRMlniz27jwg63yz|
7|Customer#000000007| ChljB04OgAizN6kQhRi7LjjNiCM0A AS|18|28-190-982-9759|9561.95|AUTOMOBILE|QM63L2miSw3hy34iQ11235 011mkgk0SkCRC73L1CgiLROzNwjO4PQSBx2n2iQg5h|
8|Customer#000000008|kCRz0CknMw7mh4P50QjBnxSLRxQCMOAh yNn|17|27-147-574-9335|6819.74|BUILDING|x1Rh1P5M73Lix xyM Lmng0RO4MBQyLll7wzwgyOLCxi2yCLgL1zO4yOiAPj|
9|Customer#000000009|L4z65g2RNgN6PxM5kRjnPB7k2kwL62|8|18-338-906-3675|8324.07|FURNITURE|7zRiSzmj4Ak7L6N7RljhM5437B6CPmP54RC1x1x7C6hziN6l|
10|Customer#000000010|L3jg3xAwi6A0B103B0Aymm|5|15-741-346-9870|2753.54|HOUSEHOLD|7Lm LiCwwxQMykgNOR6kzCyP1B21QyA57hBlSOPnx6m53iSOP6w44M3CP MnP7Alky4OwkOwSh20341|
